# Page 1
Reorganization of Mahatma Jotiba Phule Charitra Sadhan Publication Committee.
The Government of Maharashtra
Department of Higher and Technical Education
GOVERNMENT DECISION NO.: SAMRIDH- 1111/ PR No. 91/16)/ Coordination
Ministry Extension Building, Mumbai - 400 032.
Date: 08.01.2021
Reference- 1) Government of Higher and Technical Education Decision No.DBA-2008/ (86/2008) Coordination, Dec. 30/9/2008 2) Government of Higher and Technical Education Decision No. DBA-2011/ (156/11) Coordination, dated 23.11.2011 3) Higher and Technical Education Government Decision No. RASAM-2013/ PR No.45/ Coordination, dated 25.6.2013 4) Higher and Technical Education Government Resolution No. Committee-2511/ (155/13) Coordination, dated 30/7/2014 5) Decision of the Government of Higher and Technical Education No. Committee- 1111 P.S. No. (91/16) Coordination, Dy. 14.12.2018) Government of Higher and Technical Education Decision No. Committee- 1111 P.S. No. (91/16) Coordination, Dy. 27.1.2020
The contribution of social activists like Rajarshi Shahu Maharaj, Mahatma Jotiba Phule and Dr. Babasaheb Ambedkar in the ideological, social, political and educational formation of Maharashtra is important. The Government of Maharashtra decided to set up Biographies of these great men with the aim of undertaking special action-projects to awaken the identity of these great men who have inspired the state's progressiveness. According to Reference No. Under the decision of the government here, three separate committees of Dr. Babasaheb Ambedkar, Mahatma Jotiba Phule and Rajarshi Shahu Maharaj Charitra Sadhan Prakashan Samiti have been formed. All the three committees viz. 2, reference no. 3, reference no. 4, and reference no. The deadline was extended from time to time. However, reference No. Membership of all non-official members and Member Secretaries on the Committees whose term has been extended by three years under the aforesaid Reference No. 6 has been cancelled by the government.
The work of translation, editing and publication of these committees is in progress. As the books published by these committees are in great demand in the state and abroad, a proposal to extend the period of Mahatma Phule Charitra Sadhan Prakashan Samiti was under the consideration of the government. A proposal to reconstitute the Mahatma Jotiba Phule Charitra Sadhan Prakashan Samiti was also under the consideration of the government
The translation, editing and publication works of Mahatma Jotiba Phule Charitra Sadhan Prakashan Samiti are in progress. Since there is a great demand for these books in Maharashtra, in the country and abroad, to complete all the unpublished literature, writing, research work related to this great man, Mahatma Jotiba Phule Charitra Sadhan Prakashan Samiti was reorganized and given to this committee as follows. The Government is pleased to grant extension for a further period of three years with effect from 1.1.2021:
# Page 2
GOVERNMENT DECISION NUMBER: COMPREHENSIVE- 1111/ (PR No. 91/16)/ COMBINATION
-------------------------------------------------------------------------------------------------
| Minister (Higher and Technical Education)                                  | Chairman         |
| Minister of State (Higher and Technical Education)                         | Vice-president   |
| Principal Secretary (Higher and Technical Education)                       | the members      |
| Director, Government Press, Accounting Materials and Publications, Mumbai. | the members      |
| Director of Higher Education, Maharashtra State, Pune                      | an Invitee       |
| Prof. Raosaheb Kasbe                                                       | the members      |
| Mr. Uttam Kamble                                                           | the members      |
| Prof. Ranganath Pathare                                                    | the members      |
| Prof. Anand Ubale                                                          | the members      |
| Prof. Pramod Munghate                                                      | the members      |
| Prof. Neerja                                                               | the members      |
| Prof. Francis DeBrito                                                      | the members      |
| Mr. Madhu Mangesh Karnik                                                   | the members      |
| Dr. Ashok Chausalkar                                                       | the members      |
| The juvenile bed                                                           | the members      |
| Dr. Hari Narke                                                             | Member-Secretary |
-------------------------------------------------------------------------------------------------
# Page 3
