# Page 1
Re-constitution of Committee for construction of memorial for Punyashlok Ahilyadevi Holkar.
The Government of Maharashtra
Department of Higher and Technical Education
Government Resolution No: Memorial-2021/ No.22/ Vishy-2
Ministry Extension Building, Mumbai- 400 032.
Date: February 17, 2023.
Reference: Department of Education. Government Resolution dated 23.08.2021.
Introduction: Punyashlok Ahilyadevi Holkar Punyashlok Ahilyadevi Holkar is known in the history of the country as a good administrator, valiant fighter, justice-loving person, as well as a people's mother who did innumerable public welfare works. Solapur University has been named after this great woman.
At present, the university. The construction of the main administrative building and the Pariksha Bhavan building in the North Solapur area is underway and there is a demand from the public representatives, local social organizations and various sections of the district to build a memorial for Punyashlok Ahilyadevi Holkar in this building. The Committee was constituted under the Government Resolution dated 23.08.2021. Give it now. The matter of reconstituting the Committee of the following persons by cancelling the appointments of non-official members in the Government decision dated 23.08.2021 was under consideration of the Government.
Government Decision:- 1) Regarding the construction of a memorial for Punyashlok Ahilyadevi Holkar, Dy. The appointments of non-official members of the committee constituted under the Government decision dated 23.08.2021 are being cancelled under this Government decision.
2. Approval is being given to reconstitute the committee for planning, design and design of memorial for the memorial of Punyashlok Ahilyadevi Holkar as follows:
# Page 2
Government Resolution No: Memorial-2021/ No.22/ Vishy-2
----------------------------------------------------------------------------------------------------------
| A. No. | The name of the members                                              | Designation            |
| 1.     | Solapur Deputy Chief Minister                                        | Chairman               |
| 2.     | Punyashlok Ahilyadevi Holkar Solapur University, Solapur             | the Executive Chairman |
| 3.     | Narayan Govindrao Patil                                              | the members            |
| 4.     | Mr. Bapu Hatkar                                                      | the members            |
| 5.     | Mr. Shivaji Dnyandev Bandgar                                         | the members            |
| 6.     | Dr. Babasaheb Annasaheb Deshmukh                                     | the members            |
| 7.     | Mr. Mohan Nagnath Halankar                                           | the members            |
| 8.     | Mr. Shivdas Kachruba Bidgar                                          | the members            |
| 9.     | Mr. Shivaji Ambadas Kamble                                           | the members            |
| 10.    | Mr. Subhash Prahlad Maske                                            | the members            |
| 11.    | Mrs. Samta Gawde 8 Sontakke                                          | the members            |
| 12.    | Mr. Nagesh Hanmant Waghmode                                          | the members            |
| 13.    | Mr. Amoghasiddh alias Amol Ramchandra Karande                        | the members            |
| 14.    | Mr. Sharanu Shivaraya Hande                                          | the members            |
| 15.    | Mr. Bapu Dada Metkari                                                | the members            |
| 16.    | Mr. Somesh Nagnath Kshirsagar                                        | the members            |
| 17.    | Registrar, Punyashlok Ahilyadevi Holkar, Solapur University, Solapur | Coordinator            |
----------------------------------------------------------------------------------------------------------
The University shall arrange for the meetings of the said Committee from time to time.
# Page 3
