# Page 1
The Chhatrapati Shivaji Maharaj Terminus (CSMT) is one of the busiest railway stations in Mumbai. A high-level committee headed by the Chief Secretary has been constituted.
The Government of Maharashtra
the Home Department
Government Resolution No: RLY-0221/ PR No.22/ Transport-5 Madam Cama Marg, Hutatma Rajguru Chowk,
Mantralaya, Mumbai- 400032
Date of Birth: April 20, 2021
Also Read: Indian Railway Stations Development Corporation Limited IRSDC/ HQ/ Civil/ CSMT/ 2019/779/131 D. 14.01.2021
Government Resolution: Indian Railway Station Development Corporation Ltd. The Indian Railway Stations Development Corporation Limited (IRCTC) has taken up an ambitious plan to redevelop existing railway stations across India.
The stations include Chhatrapati Shivaji Maharaj Terminus-Mumbai, Dadar railway station, Andheri railway station, Lokmanya Tilak Terminus, etc.
Indian Railway Station Development Corporation Ltd. He also laid the foundation stone for the redevelopment of Chhatrapati Shivaji Maharaj Terminus railway station and other railway stations in Mumbai on the lines of the Metro Rail project. A high-level committee headed by the Chief Secretary has been constituted for the purpose.
Chhatrapati Shivaji Maharaj Terminus- Mumbai and other railway stations in the Mumbai Metropolitan Region are being redeveloped. The Government have decided to constitute a High Level Committee under the Chairmanship of the Chief Secretary as follows:
# Page 2
Government Resolution No: RLY-0221/ PR No.22/ TRANSPORT-5
--------------------------------------------------------------------------------------------------------
| A.A. | High-level committee                                                       | the designation  |
| 1    | Chief Secretary, Government of Maharashtra                                 | the Chairman     |
| 2    | Additional Chief Secretary, Home Department                                | the members      |
| 3    | Additional Chief Secretary, Revenue Department                             | the members      |
| 4    | Additional Chief Secretary, Department of Transport                        | the members      |
| 5    | the Principal Secretary, Urban Development Department                      | the members      |
| 6    | Commissioner of the Brihanmumbai Municipal Corporation                     | the members      |
| 7    | Commissioner of Police, Mumbai                                             | the members      |
| 8    | Managing Director, Indian Railway Stations Development Corporation Limited | the members      |
| 9    | Municipal Commissioner, Mumbai Metropolitan Region Development Authority   | the members      |
| 10   | Chairman and Managing Director, Mumbai Railway Vikas Corporation Ltd.      | the members      |
| 11   | Chairman of the Mumbai Port Trust                                          | the members      |
| 12   | General Manager, Western Railway                                           | the members      |
| 13   | the General Manager, Central Railway                                       | Member-Secretary |
--------------------------------------------------------------------------------------------------------
# Page 3
